Hotel_Name,Hotel_Address,text,lat,lng,emotion,cluster
Britannia International Hotel Canary Wharf,163 Marsh Wall Docklands Tower Hamlets London E14 9SJ United Kingdom,No Positive  Aged Air Con was very noisy ,51.5019097,-0.0232208,neutral,0
Millennium Gloucester Hotel London,4 18 Harrington Gardens Kensington and Chelsea London SW7 4LH United Kingdom, the hotel is recently refurbished and all areas look modern and clean set not too far from anywhere but far enough to know you ve had a walk our room although compact was fine with a good bathroom wardrobe space and comfy bed i didnt notice complimentary water or robes though   it is compact and the rooms and corridors were rather small apparently i was upgraded to an executive room which to be honest confused me because it was by no means special a smaller room or with less furnishings would have received a severely poor review from me its one of those hotels that borderlines just about good enough to utterly unacceptable there is loads of them like this in this area the trick is to book the best room you can and avoid budget deals as you would be better off in a premier inn or something luxury is available here i could see just need to find the sweet spot of cost to comfort finally its somehow out of the way not that near to tube stops or any real area as such being by bayswater its sort of no mans land because the park dominates funny though that its still a noisy area BUT it is close enough to Ox st to grab a cab from the door for 7 ,51.4935083,-0.1834346,neutral,0
Hilton London Metropole,225 Edgware Road Westminster Borough London W2 1JU United Kingdom, Staff was very helpful   Room was to hot for babies It s all on a sensor that s goes off if their is no movement inside ,51.5195688,-0.170521,neutral,0
The Ned,Poultry 27 City of London London EC2R 8AJ United Kingdom, The bed was very comfy and lovely toiletries in the room Nice historical building The grill restaurant was very nice although too expensive Some of the staff were very nice but are the exception not the norm   Many of the staff were borderline rude and we had to complain twice about very rude staff We did think that the hotel values more pretentious clients and didn t feel welcome The management did listen to our complaints and were very convincing that things would change The hotel is very new and these maybe teething troubles The food in the many restaurants was not very good and certainly not worth the money ,51.5135929,-0.0907833,neutral,0
Club Quarters Hotel Gracechurch,7 Gracechurch Street City of London London EC3V 0DR United Kingdom, Location  Room a bit cold,51.5127964,-0.0847973,neutral,0
The Park Grand London Paddington,1 3 Queens Garden Westminster Borough London W2 3BA United Kingdom, Everything  Nothing was wrong ,51.5142184,-0.1809032,neutral,0
Park Lane Mews Hotel,2 Stanhope Row Park Lane Westminster Borough London W1J 7BS United Kingdom, Staff were helpful and polite  Room was tacky and poor Desperate in need of an update Certainly not worth anywhere near the price charged ,51.5059334,-0.1489418,neutral,0
Clayton Crown Hotel London,152 Cricklewood Broadway Cricklewood London NW2 3ED United Kingdom, The room was clean comfortable and spacious It was also pleasantly quiet The staff were helpful   Our cooked breakfast was cold and we had to send it back It was replaced but shouldn t have been sent out in the first place The buffet breakfast looked a better option ,51.5561548,-0.2141824,neutral,0
Hotel ViennArt am Museumsquartier,Breite Gasse 9 07 Neubau 1070 Vienna Austria, The location of this hotel is absolutely perfect and enabled us to walk comfortably to every point of interest in the city There are some great restaurants and cafes right on the doorstep do not miss Glacis Beisl opposite delicious food as well as the 2 Christmas markets within 5 mins walk   The facilities in the room were basic and did not match the modern sleek impression given of the room on the website There were not tea and coffee facilities in the room and as we did not have breakfast included in our package we were told that we couldn t get a tea or coffee before 12pm without purchasing breakfast Also we had 2 single duvets on a double bed which was a small thing but frustrating nonetheless ,48.2035677,16.356445,neutral,0
Hotel de France Wien,Schottenring 3 01 Innere Stadt 1010 Vienna Austria, Great breakfast nice room space   Old Television in the room not flat screen heating was not working properly ,48.2146623,16.3627994,neutral,-1
Barcel Sants,Plaza Paisos Catalans s n Sants Montju c 08014 Barcelona Spain, The theme of the hotel is outstanding The creativity in architecture and concept is very pleasant  No Negative,41.3798964,2.1412433,neutral,1
Holiday Inn London Bloomsbury,Coram Street Camden London WC1N 1HT United Kingdom, Relaxing stay comfortable room and friendly staff   Can t think of anything ,51.5241248,-0.1258066,joy,0
Radisson Blu Edwardian Mercer Street,20 Mercer Street Covent Garden Camden London WC2H 9HD United Kingdom, The bed was amazingly comfortable and the rooms were beautifully clean The breakfast was delicious and plenty of it We stayed there after a visit to the theatre as it is so conveniently positioned and we will definitely stay there again   Nothing ,51.5139275,-0.1271506,neutral,0
My Bloomsbury,11 13 Bayley Street Bedford Square Camden London WC1B 3HD United Kingdom, Very helpful front desk staff really nice bed linen pillows and good size TV  Wifi signal poor and wifi support not given towel heater did not work the chair has a partially open back and cushion keeps sliding out housekeeping staff poor in English extremely slow service in Gail s Caf TV channels seems very UK centric adding DW NHK AJ and CNN may be good,51.5188555,-0.1319172,neutral,0
The Justin James Hotel,43 Worple Road Wimbledon London SW19 4JZ United Kingdom, Mostly quiet and very clean   No lift to the 3rd floor rooms and as it is under the eaves the bathroom is a challenge No way to stand and shower so you have to have a bath or sit in tub and use wand The bedroom is large enough that sloping ceilings do not present a problem,51.4202661,-0.211268,neutral,0
The Abbey Court Notting Hill,20 Pembridge Gardens Kensington and Chelsea London W2 4DU United Kingdom, Location  Bathroom very worn and shower was broken,51.5101401,-0.1968951,neutral,0
H10 Marina Barcelona,Avenida Bogatell 64 68 Sant Mart 08005 Barcelona Spain, Friendly helpful staff  Pool area very small,41.393227,2.1927427,joy,1
Dorsett Shepherds Bush,58 Shepherds Bush Green Hammersmith and Fulham London W12 8QE United Kingdom, Excellent Chinese restaurant and quality bar staff Bar open to early hours plus great bathrooms and showers  Rooms were a little small,51.5039399,-0.2244232,neutral,0
Mercure Amsterdam Sloterdijk Station,Naritaweg 1 Westpoort 1043 BP Amsterdam Netherlands, Good location great links to center  Decor a bit dated could do with a refresh,52.3872884,4.8349748,neutral,-1
Best Western Atlantic Hotel,Via Napo Torriani 24 Central Station 20124 Milan Italy, Everything was perfect w r t room price  No Negative,45.4830211,9.2033246,anger,0
Les Jardins De La Villa Spa,5 Rue Belidor 17th arr 75017 Paris France, The communication was poor when we got there I asked to do something special for my boyfriend birthday and didn t get anything The breakfast and spa facilities wasn t explained very well so had to go out and find somewhere to have breakfast wasn t able to use the spa facilities till the day of checking out as it was booked up  No Negative,48.8801757,2.2859534,neutral,-1
The Queens Gate Hotel,31 34 Queen s Gate Kensington and Chelsea London SW7 5JA United Kingdom, Great location close to shopping park restaurants and museums Comfortable beds Modern clean line decor Reasonable price for location   Stayed in a triple single room which turned out to be in the basement with one window looking into a light well Wish we had known before booking ,51.4981225,-0.1799693,neutral,0
London Marriott Hotel West India Quay,22 Hertsmere Road Tower Hamlets London E14 4ED United Kingdom, Staff couldn t do enough for us Rooms were spot on The location was perfect for getting around  No Negative,51.5072713,-0.0211213,neutral,0
Cotton House Hotel Autograph Collection,Gran V a de les Corts Catalanes 670 Eixample 08010 Barcelona Spain, Best hotel Best staff  Nothing,41.3915897,2.1720108,joy,1
The Rembrandt,11 Thurloe Place Knightsbridge Kensington and Chelsea London SW7 2RS United Kingdom, Location No Negative,51.4959227,-0.1702917,anger,0
London Marriott Hotel West India Quay,22 Hertsmere Road Tower Hamlets London E14 4ED United Kingdom, Very comfortable beds Great location Quiet  No Negative,51.5072713,-0.0211213,joy,0
